"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42260099999","2025-04-29T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","050,1,N,0026,1","99999,9,9,N","004000,1,9,9","+0260,1","+0201,1","10035,1",,,,,,,,,,,,,,"9,9,999,9,-002,1",,"SYN04642260 32996 00505 10260 20201 40035 333 59002=",
"42260099999","2025-04-29T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","090,1,N,0046,1","99999,9,9,N","004000,1,9,9","+0283,1","+0204,1","10052,1",,,,,,,,,,,,"240,N,+0257,1",,"9,9,999,9,+002,1",,"SYN06242260 32996 00909 10283 20204 40052 333 20257 58002 555 10000=",
"42260099999","2025-05-01T09:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","070,1,N,0041,1","22000,1,9,9","004000,1,9,9","+0387,1","+0229,1","10046,1","99,9999,9,9",,,"0,1,99,9","0,1,99,9",,"99,9,+08000,1,00,1",,,"9,AGL   ,+99999,+99999","01,99,1,99,9,99,9,08000,1,99,9,99,9",,,"9,9,999,9,+006,1",,"SYN004BUFR",
"42260099999","2025-05-02T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","020,1,N,0041,1","22000,1,9,N","004000,1,9,9","+0294,1","+0218,1","10060,1","09,0000,9,1",,,,,,"01,1,+00800,1,06,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,+027,1",,"SYN06442260 22596 30208 10294 20218 40060 81501 333 10325 58027 6990/=","Q01  00002PRCP09"
"42260099999","2025-05-03T06:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","090,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0317,1","+0239,1","10079,1",,"9,1,02,1","5,1,02,1",,,,"01,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","05,99,1,01,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,-017,1","05,1","SYN05842260 31596 50907 10317 20239 40079 70595 81530 333 59017=",
"42260099999","2025-05-04T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","050,1,N,0015,1","22000,1,9,N","004000,1,9,9","+0368,1","+0176,1","09998,1",,,,,,,"02,1,+00800,1,08,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,-013,1",,"SYN05842260 32596 40503 10368 20176 49998 82830 333 10382 59013=",
"42260099999","2025-05-05T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","020,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0266,1","+0236,1","10037,1","09,0010,3,1","9,1,02,1","6,1,02,1",,,,"03,1,+00800,1,09,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,+032,1","17,1","SYN07042260 21596 80207 10266 20236 40037 71796 83330 333 10332 58032 6001/=",
"42260099999","2025-05-06T06:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","020,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0328,1","+0214,1","10058,1",,,,,,,"01,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,01,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,-002,1",,"SYN05242260 32596 60204 10328 20214 40058 81530 333 59002=",
"42260099999","2025-05-11T06:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","250,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0356,1","+0227,1","10050,1",,,,,,,,,,,,,,"9,9,999,9,-013,1",,"SYN04642260 32996 02504 10356 20227 40050 333 59013=",
"42260099999","2025-05-12T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0306,1","+0187,1","10043,1","24,0004,3,1",,,,,,"05,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,05,1,99,9,00800,1,99,9,99,9","240,N,+0263,1",,"9,9,999,9,-015,1",,"SYN08042260 22596 62704 10306 20187 40043 85530 333 20263 59015 6994/ 555 00004 10063=",
"42260099999","2025-05-12T06:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","004000,1,9,9","+0366,1","+0160,1","10040,1",,,,,,,,,,,,,,"9,9,999,9,-009,1",,"SYN04642260 32996 02304 10366 20160 40040 333 59009=",
"42260099999","2025-05-12T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","290,1,N,0031,1","99999,9,9,N","004000,1,9,9","+0392,1","+0151,1","09992,1",,,,,,,,,,,,"240,M,+0405,1",,"9,9,999,9,+000,1",,"SYN05242260 32996 02906 10392 20151 49992 333 10405 58000=",
"42260099999","2025-05-12T15:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0005,1","22000,1,9,N","004000,1,9,9","+0320,1","+0163,1","10006,1",,,,,,,"01,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-008,1",,"SYN05242260 32996 19901 10320 20163 40006 81030 333 59008=",
"42260099999","2025-05-12T18:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","290,1,N,0051,1","99999,9,9,N","004000,1,9,9","+0320,1","+0190,1","10024,1",,"1,1,02,1","1,1,02,1",,,,"03,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00800,1,99,9,99,9",,,"9,9,999,9,-020,1","06,1","SYN05842260 31596 62910 10320 20190 40024 70611 83530 333 59020=",
